| label | base | transformer | geometry | status | stage2 s | sec/token | decode s | chunks | sec/chunk | ded peak MB | shr peak s2 MB | rx med s2 | a1 | a2 | a3 | a4 | verdict | a1b s2 | a1b dec | verdict v2 | thin base | ref tok | pred res MB | obs res MB | residual MB | verdict v3' |
|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|
| q6_s_720_b185 | LTX23 | Sulphur-2-base-distil-Q6_K | 1280x768/185f | completed | 33.0 | 0.001432292 | 20.4 | 5 | 4.08 | 11788.7 | 1174.6 | 3.0 | True | True |  |  | organic |  |  | baseline | False |  |  |  |  | baseline |
| q6_s_720_361 | LTX23 | Sulphur-2-base-distil-Q6_K | 1280x768/361f | completed | 76.35 | 0.00172894 | 38.17 | 9 | 4.2411 | 15660.2 | 2473.5 | 1.0 | True | False | True | False | inconclusive | True | False | harmful | False |  |  |  |  | plateau |
| q6_s_720_369 | LTX23 | Sulphur-2-base-distil-Q6_K | 1280x768/369f | completed | 73.65 | 0.001632314 | 38.51 | 10 | 3.851 | 15701.6 | 1290.6 | 103.0 | True | True | False | False | organic | False | False | organic | False |  |  |  |  | clean |
| q6_s_720_377 | LTX23 | Sulphur-2-base-distil-Q6_K | 1280x768/377f | completed | 76.35 | 0.001656901 | 37.02 | 10 | 3.702 | 15622.3 | 1346.2 | 7.0 | True | True | False | False | organic | False | False | organic | False |  |  |  |  | clean |
| q6_s_1080_b89 | LTX23 | Sulphur-2-base-distil-Q6_K | 1920x1088/89f | completed | 35.55 | 0.001452206 | 19.27 | 3 | 6.4233 | 11934.4 | 1188.9 | 5.0 | True | True |  |  | organic |  |  | baseline | False |  |  |  |  | baseline |
| q6_s_1080_169 | LTX23 | Sulphur-2-base-distil-Q6_K | 1920x1088/169f | completed | 73.2 | 0.001631016 | 38.19 | 5 | 7.638 | 15522.5 | 1146.2 | 2.0 | True | False | False | False | organic | False | False | organic | False |  |  |  |  | clean |
| q6_s_1080_177 | LTX23 | Sulphur-2-base-distil-Q6_K | 1920x1088/177f | completed | 98.85 | 0.002106777 | 38.7 | 5 | 7.74 | 15889.5 | 1415.6 | 2.0 | True | False | True | True | inconclusive | False | False | organic | False |  |  |  |  | clean |
| q6_s_p1280_b185 | LTX23 | Sulphur-2-base-distil-Q6_K | 768x1280/185f | completed | 33.0 | 0.001432292 | 19.14 | 5 | 3.828 | 11413.1 | 1189.6 | 4.0 | True | True |  |  | organic |  |  | baseline | False |  |  |  |  | baseline |
| q6_s_p1280_361 | LTX23 | Sulphur-2-base-distil-Q6_K | 768x1280/361f | completed | 73.65 | 0.001667799 | 35.74 | 9 | 3.9711 | 15960.5 | 1858.5 | 6.0 | True | True | False | False | organic | True | False | organic | False |  |  |  |  | plateau |
